,gmi,hmi,ami,cni,jci,aai,gmii,hmii,amii,cnii,jcii,aaii,gmiii,hmiii,amiii,cniii,jciii,aaiii
email-Enron,12.67,0.49,-0.15,33.89,-1.57,35.78,14.37,22.95,5.95,10.73,-2.98,17.01,-1.53,-0.59,-0.26,5.04,1.59,-2.05
email-Eu,0.69,-0.13,1.67,153.81,9.16,148.09,-2.44,-0.78,4.04,158.79,13.93,157.73,0.64,-0.32,1.23,2.01,18.86,2.31
contact-primary-school,6.42,1.21,49.2,495.94,413.35,484.73,0.0,0.0,6.63,708.56,361.79,627.66,0.0,0.0,0.0,0.0,0.0,0.0
contact-high-school,15.16,-0.87,78.62,515.17,455.54,507.13,0.0,0.0,14.14,1623.33,221.51,1617.75,0.0,5.96,3.9,0.0,104.37,0.0
NDC-classes,0.18,4.23,-44.7,1.55,10.91,2.25,44.28,16.62,-37.82,0.28,10.07,5.6,6.77,16.95,-2.31,-4.14,2.0,-1.5
NDC-substances,-4.95,-0.02,0.47,0.57,-40.98,-3.54,10.73,2.46,0.16,16.01,-17.02,14.18,158.1,0.02,7.07,-1.81,-0.47,-2.99
DAWN,0.15,0.04,21.34,197.97,30.48,187.62,0.23,0.0,3.48,220.79,42.8,212.33,0.49,0.0,14.04,-0.85,17.31,-0.54
congress-bills,7.92,-0.99,14.53,328.76,16.49,294.16,11.84,-0.03,30.86,271.64,48.55,259.22,-0.07,4.98,0.26,0.93,0.57,0.16
tags-ask-ubuntu,0.24,-0.51,23.09,216.47,14.07,192.03,0.07,0.02,20.84,244.72,80.37,225.89,0.0,-1.13,2.96,0.85,5.5,1.35
tags-math-sx,0.46,0.18,32.38,137.4,46.53,127.25,0.13,0.01,21.35,146.02,60.64,135.54,0.0,0.63,9.73,0.67,5.86,0.74
threads-ask-ubuntu,0.0,10.05,2.47,2.34,2.34,1.48,-0.0,-1.76,6.51,2.56,3.1,1.76,-0.0,9.62,-0.07,0.01,-0.05,0.0
threads-math-sx,0.03,0.44,8.52,6.01,5.61,5.1,0.0,0.42,23.48,6.63,6.56,5.65,0.0,0.61,0.01,0.0,-0.15,-0.0
coauth-MAG-History,0.0,-8.48,-1.81,1.69,3.0,1.94,0.08,0.13,3.0,2.32,4.43,2.37,0.16,137.94,2.36,-0.23,0.53,-0.1
coauth-MAG-Geology,0.93,0.36,22.93,15.39,19.76,15.34,0.79,3.78,603.02,14.56,20.52,14.65,-30.08,0.17,8.14,-0.1,1.68,0.39
coauth-DBLP,-53.43,0.9,145.31,16.89,21.99,16.73,1.32,3.52,175.24,16.17,22.82,15.44,-24.05,0.58,11.06,-0.08,1.69,0.3
