,gmi,hmi,ami,cni,jci,aai,gmii,hmii,amii,cnii,jcii,aaii,gmiii,hmiii,amiii,cniii,jciii,aaiii
email-Enron,0.88,-1.77,-1.62,50.74,32.62,46.28,-0.95,5.23,-1.72,84.94,70.75,83.36,-0.07,0.49,-0.52,1.79,7.59,1.67
email-Eu,-0.01,0.08,2.07,47.27,26.37,43.69,0.28,-0.06,4.86,48.01,25.54,43.68,-0.0,2.23,1.66,-0.57,2.31,-0.47
contact-primary-school,0.39,1.66,8.2,71.03,40.4,69.59,0.0,0.0,0.0,71.01,19.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contact-high-school,0.59,4.09,17.42,69.68,63.34,68.45,0.0,0.0,0.0,2.56,308.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDC-classes,-39.75,-4.61,0.55,1.58,-0.42,6.97,-5.98,-1.42,34.63,11.31,-34.1,14.93,2.61,-0.08,-7.95,4.4,4.24,3.48
NDC-substances,-0.45,-0.51,-2.66,14.26,-0.74,10.43,-0.25,-0.48,-5.37,7.74,0.4,5.68,2.71,2.28,3.28,4.7,-1.44,2.91
DAWN,0.02,0.08,4.27,26.16,19.08,25.19,0.01,0.01,3.97,28.12,20.22,27.01,0.03,0.02,-1.92,0.02,0.26,0.14
congress-bills,1.51,0.78,4.03,54.84,31.03,49.67,1.12,0.11,6.49,52.51,26.47,47.91,0.01,4.9,-0.01,0.27,1.15,0.12
tags-ask-ubuntu,0.02,1.98,4.01,28.06,18.59,26.63,0.0,0.4,3.52,32.66,21.33,31.14,0.0,1.09,-0.0,0.0,0.36,0.01
tags-math-sx,0.04,0.92,4.28,21.63,21.25,20.19,0.0,0.06,3.52,23.81,21.77,22.09,0.0,1.19,0.09,0.02,0.68,0.02
threads-ask-ubuntu,-54.9,0.48,-56.79,1.52,0.18,-61.1,-74.76,-0.67,21.13,-1.32,0.02,0.04,0.0,0.84,0.02,0.0,0.01,0.0
threads-math-sx,0.02,-0.68,7.41,0.5,1.35,0.68,0.0,-0.33,9.18,0.12,0.83,0.3,0.0,0.04,0.04,0.06,-0.0,0.01
coauth-MAG-History,-46.72,-1.78,-54.46,-0.19,0.02,-0.17,-30.35,-4.84,-0.15,-0.19,-0.02,-0.12,0.28,20.68,-1.43,0.04,0.02,0.06
coauth-MAG-Geology,57.83,1.09,1.94,0.3,-0.03,0.02,67.24,-0.3,1.87,0.22,-0.14,-0.04,3.15,6.72,1.15,-36.11,0.02,-30.3
coauth-DBLP,28.44,4.62,0.51,-0.12,-0.18,-0.35,38.98,0.36,-0.0,-9.83,-23.36,-0.38,3.71,10.92,1.86,7.41,-1.08,-20.89
