,gmi,hmi,ami,cni,jci,aai,gmii,hmii,amii,cnii,jcii,aaii,gmiii,hmiii,amiii,cniii,jciii,aaiii
email-Enron,2.22,0.3,2.98,23.15,-3.46,27.77,7.79,6.36,4.75,54.18,0.89,65.79,-1.66,-0.93,-3.5,1.67,-1.02,-1.92
email-Eu,-0.04,-0.0,2.44,90.53,7.5,86.73,-1.49,-0.09,2.99,91.25,8.03,90.08,1.38,-1.33,0.82,1.63,16.68,2.17
contact-primary-school,2.78,0.96,26.69,277.38,239.91,270.25,0.0,1.69,6.12,472.16,222.85,439.44,0.0,0.0,0.0,0.0,0.0,0.0
contact-high-school,7.01,-1.24,40.67,266.17,259.16,261.82,0.0,0.0,4.31,801.92,174.66,796.04,0.0,5.96,0.0,0.0,43.66,0.0
NDC-classes,0.19,2.2,-21.35,1.33,11.52,2.25,-62.3,18.65,-32.79,0.77,8.03,2.83,7.73,15.72,-1.74,-3.42,2.38,-1.72
NDC-substances,-3.47,0.02,0.65,5.64,-21.36,2.03,15.39,1.93,0.82,13.8,9.88,12.28,117.92,-0.04,8.99,0.73,1.25,0.26
DAWN,0.07,0.03,15.87,102.26,23.07,97.34,0.08,0.0,6.08,121.78,33.69,116.86,0.26,0.0,4.64,-0.39,8.29,0.18
congress-bills,5.36,-0.89,9.35,192.57,16.2,173.57,8.12,-0.04,22.78,165.38,49.78,158.34,-0.13,3.32,-0.08,0.48,-1.06,0.12
tags-ask-ubuntu,0.2,-0.3,18.18,117.08,16.39,106.94,0.02,0.03,17.79,135.85,58.14,127.15,0.0,-1.14,-0.1,0.36,2.55,0.56
tags-math-sx,0.3,0.22,20.94,77.07,34.97,71.99,0.06,0.01,16.35,78.71,40.27,73.46,0.0,0.5,3.96,0.34,3.0,0.37
threads-ask-ubuntu,0.01,12.91,2.75,2.73,2.58,1.77,-0.0,-1.91,6.49,3.08,3.66,2.28,-0.0,13.16,-0.06,0.01,-0.07,-0.0
threads-math-sx,0.04,1.01,9.79,7.61,7.02,6.48,0.01,-0.16,21.43,8.55,8.27,7.33,0.0,0.86,0.0,0.0,-0.21,-0.01
coauth-MAG-History,0.01,-9.29,-4.99,1.48,2.26,1.55,0.07,0.16,2.3,2.08,3.34,1.89,0.32,110.03,2.62,-0.26,0.36,-0.1
coauth-MAG-Geology,1.0,0.41,22.64,14.16,16.05,13.58,0.86,2.41,323.09,7.05,16.17,12.63,-23.28,0.28,7.11,0.25,1.41,0.47
coauth-DBLP,-42.92,0.71,85.96,4.51,15.59,13.81,1.31,2.21,101.23,7.94,16.0,12.68,-17.03,0.45,8.42,0.16,1.29,0.36
