,gmi,hmi,ami,cni,jci,aai,gmii,hmii,amii,cnii,jcii,aaii,gmiii,hmiii,amiii,cniii,jciii,aaiii
email-Enron,-0.29,0.11,0.03,146.62,61.25,136.85,0.94,20.44,-0.95,290.71,114.69,284.58,0.15,-12.38,-0.65,-1.24,40.45,1.24
email-Eu,-0.23,-0.36,4.84,179.15,78.08,165.82,-0.66,1.16,9.65,197.94,80.12,182.04,0.67,2.62,3.72,1.5,11.06,1.64
contact-primary-school,0.83,2.31,26.38,352.97,191.32,341.63,0.0,0.0,0.0,363.57,15.84,231.52,0.0,0.0,0.0,0.0,0.0,0.0
contact-high-school,4.1,0.73,62.55,276.95,268.14,270.9,0.0,0.0,44.58,2.56,146.33,0.0,0.0,5.96,0.0,0.0,0.0,0.0
NDC-classes,-16.41,2.37,6.82,1.58,0.08,4.64,25.08,-1.22,29.13,11.93,-56.56,13.5,4.6,4.26,-0.09,7.19,-21.12,-1.25
NDC-substances,-0.47,-0.42,-1.9,45.49,-2.65,42.64,-0.0,-2.58,-2.34,15.7,-0.78,14.22,-0.03,2.01,-1.82,5.72,-0.22,5.4
DAWN,0.1,0.06,15.34,109.31,53.4,104.23,0.05,0.01,12.52,117.02,65.69,112.87,0.06,0.06,-0.75,-0.22,1.5,-0.09
congress-bills,5.4,0.96,13.31,220.02,94.64,199.34,4.62,0.03,22.55,211.05,93.92,194.34,0.06,12.26,0.23,1.59,3.5,1.06
tags-ask-ubuntu,0.13,3.64,15.56,121.91,54.16,113.52,0.01,0.45,10.38,142.59,73.4,133.63,0.0,3.74,0.03,0.0,2.15,0.21
tags-math-sx,0.15,1.43,16.18,79.17,52.63,73.45,-0.01,0.09,11.77,87.29,61.81,80.33,-0.0,4.1,0.92,0.11,3.08,0.13
threads-ask-ubuntu,-83.81,-1.74,-82.3,1.55,0.13,0.06,-91.55,-3.4,15.73,0.03,0.01,0.02,77.37,0.2,0.21,0.0,0.0,0.0
threads-math-sx,0.01,-1.41,10.38,0.53,1.3,0.77,0.0,-0.17,14.0,0.03,0.84,0.32,0.0,-0.0,0.1,0.11,-0.0,0.02
coauth-MAG-History,-82.43,-8.23,-0.13,-0.21,0.01,-0.17,-62.3,-10.2,-0.28,-0.2,-0.02,-0.11,3.74,23.56,0.76,0.04,0.02,0.05
coauth-MAG-Geology,65.97,3.41,-2.43,0.08,-0.03,-0.02,96.11,0.58,0.17,0.07,-0.09,-0.03,10.87,10.55,5.35,-60.83,0.02,-55.89
coauth-DBLP,22.64,7.75,-0.11,-0.09,-0.11,-0.25,37.39,1.04,0.27,-16.5,-55.24,-0.22,22.48,18.06,4.59,1.84,-0.99,-56.23
