,gmi,hmi,ami,cni,jci,aai,gmii,hmii,amii,cnii,jcii,aaii,gmiii,hmiii,amiii,cniii,jciii,aaiii
email-Enron,2.08,0.59,-0.92,2.23,-1.42,2.69,5.99,14.5,6.66,17.88,1.38,15.18,1.39,-0.89,-0.58,4.03,1.17,6.4
email-Eu,0.17,-0.01,1.51,21.99,3.72,20.92,0.97,-0.02,1.86,21.71,4.0,21.58,0.1,-0.22,1.27,0.06,4.53,0.27
contact-primary-school,0.32,0.59,3.98,62.56,52.55,61.79,0.0,0.0,0.0,68.34,139.3,40.02,0.0,0.0,0.0,0.0,0.0,0.0
contact-high-school,3.43,-0.08,15.98,56.37,56.62,58.67,0.0,0.0,0.0,153.07,26.7,92.7,0.0,0.0,0.0,0.0,78.34,15.06
NDC-classes,0.1,0.98,-25.22,0.56,3.82,0.34,-30.93,8.48,-11.8,0.41,4.98,0.83,-0.88,0.96,-21.07,-1.73,2.55,-1.59
NDC-substances,3.08,-0.02,-2.89,8.52,8.97,7.58,22.26,0.62,1.37,12.43,18.76,12.23,3.22,-0.01,4.47,0.06,1.09,-0.41
DAWN,0.01,0.01,4.27,21.93,8.82,21.01,0.01,-0.0,3.65,28.15,12.14,26.9,0.13,0.0,-1.37,0.21,1.78,0.48
congress-bills,1.29,-0.45,1.99,47.26,8.62,42.66,2.41,0.0,8.01,45.98,29.02,43.94,-0.01,0.43,-0.02,0.08,-0.32,0.03
tags-ask-ubuntu,0.05,-0.01,5.66,24.75,8.75,23.36,0.01,0.01,7.01,28.87,15.25,27.42,0.0,-0.05,-0.23,0.05,0.47,0.08
tags-math-sx,0.08,0.11,5.51,18.02,11.32,16.98,0.01,0.0,5.91,17.51,10.49,16.49,0.0,0.14,0.46,0.08,0.61,0.08
threads-ask-ubuntu,0.01,14.26,2.22,1.94,1.7,1.41,-0.0,0.86,3.59,2.37,2.44,1.86,-0.0,11.36,-0.06,-0.02,-0.05,-0.02
threads-math-sx,0.06,1.86,7.02,6.75,6.16,5.92,0.01,-0.32,10.27,7.81,7.35,6.86,0.0,1.14,-0.0,-0.0,-0.21,-0.0
coauth-MAG-History,-44.48,-5.72,0.29,0.75,0.79,0.72,-41.76,0.02,1.97,1.08,1.2,0.9,2.95,47.78,0.7,-0.17,0.11,-0.05
coauth-MAG-Geology,-26.63,0.08,13.74,3.44,6.37,3.34,-29.12,0.63,76.28,4.63,6.25,4.09,24.48,0.03,3.37,0.08,0.57,0.2
coauth-DBLP,-16.31,0.21,22.68,2.62,4.78,2.55,-21.36,0.55,26.29,4.14,4.91,3.52,16.83,0.13,2.97,0.09,0.43,0.17
